dist,Z
0,881.036010742188
6.37947192581173,881.135009765625
12.7589438516235,881.098022460938
19.1384157774352,881.085998535156
25.5178877032469,881.085998535156
31.8973596290587,881.085998535156
38.2768315548704,881.098022460938
44.6563034806821,881.135009765625
51.0357754064939,881.208984375
57.4152473323056,881.135009765625
63.7947192581173,881.159973144531
70.1741911839291,881.554992675781
76.5536631097408,882.567016601563
82.9331350355525,882.554016113281
89.3126069613643,882.554016113281
95.692078887176,882.517028808594
102.071550812988,882.5419921875
108.451022738799,882.492004394531
114.830494664611,882.455017089844
121.209966590423,882.468017578125
127.589438516235,882.393981933594
133.968910442046,882.294982910156
140.348382367858,882.221008300781
146.72785429367,882.14697265625
153.107326219482,882.098022460938
159.486798145293,881.356994628906
165.866270071105,881.851013183594
172.245741996917,882.567016601563
178.625213922729,882.690002441406
185.00468584854,882.739013671875
191.384157774352,882.492004394531
197.763629700164,882.554016113281
204.143101625975,882.567016601563
210.522573551787,882.122009277344
216.902045477599,881.629028320313
223.281517403411,881.629028320313
229.660989329222,881.455993652344
236.040461255034,881.208984375
242.419933180846,880.986999511719
248.799405106658,881.208984375
255.178877032469,882.393981933594
261.558348958281,882.5419921875
267.937820884093,882.77099609375
274.317292809905,883.036010742188
280.696764735716,882.859008789063
287.076236661528,882.372009277344
293.45570858734,882.570983886719
